2N7002-7-F	from hqew, 捷辉电子商行	PIOPES	&nbsp;	4010	SOT-23
QG82945P SL8HT	from hqew, 捷辉电子商行	INTEL	0628+	24	BGA
QG82945P SL8HT	from hqew, 捷辉电子商行	INTEL	0643+	3	BGA
QG82945PL SL8V4	from hqew, 捷辉电子商行	INTEL	0648+	445	BGA
QG82945PL SL8V4	from hqew, 捷辉电子商行	INTEL	0632+	12	BGA
QG82945PL SL8V4	from hqew, 捷辉电子商行	INTEL	0703+	2	BGA
QG82945PL SL8V4	from hqew, 捷辉电子商行	INTEL	0649+	10	BGA
QG82945PL SL8V4	from hqew, 捷辉电子商行	INTEL	0609+	4	BGA
QG82945PL SL8V4	from hqew, 捷辉电子商行	INTEL	0636+	1	BGA
QG82955X SL8FW	from hqew, 捷辉电子商行	INTEL	0627+	2	BGA
QG82955X SL8FW	from hqew, 捷辉电子商行	INTEL	0704+	360	BGA
QG82975X SL8YS	from hqew, 捷辉电子商行	INTEL	0612+	34	BGA
RC82544GC	from hqew, 捷辉电子商行	INTEL	0307+	4	BGA
RG82845 SL5YQ	from hqew, 捷辉电子商行	INTEL	0325+	1	BGA
RG82845 SL63W	from hqew, 捷辉电子商行	INTEL	0212+	5	BGA
RG82845E SL66N	from hqew, 捷辉电子商行	INTEL	0541+	288	BGA
RG82845E SL66N	from hqew, 捷辉电子商行	INTEL	0554+	19	BGA
RG82845E/SL66N	from hqew, 捷辉电子商行	INTEL	0411+	454	BGA
RG82845PE SL6Q3	from hqew, 捷辉电子商行	INTEL	0540+	10	BGA
RG82848P SL77Y	from hqew, 捷辉电子商行	INTEL	0545+	102	BGA
RG82848P SL77Y	from hqew, 捷辉电子商行	INTEL	0542+	34	BGA
RG82855GME SL72L	from hqew, 捷辉电子商行	INTEL	0823+	60	BGA
RG82865G SL743	from hqew, 捷辉电子商行	INTEL	0552+	360	BGA
RG82865P SL6UY	from hqew, 捷辉电子商行	INTEL	0532+	20	BGA
RG82865P SL6UY	from hqew, 捷辉电子商行	INTEL	0351+	8	BGA
RG82865P SL6UY	from hqew, 捷辉电子商行	INTEL	0316+	34	BGA
RG82865PE SL722	from hqew, 捷辉电子商行	INTEL	0534+	1385	BGA
RG82865PE SL722	from hqew, 捷辉电子商行	INTEL	0702+	45	BGA
RG82865PE SL722	from hqew, 捷辉电子商行	INTEL	0538+	1	BGA
RG82865PE/SL722	from hqew, 捷辉电子商行	INTEL	0536+	465	BGA
RG82875 SL744	from hqew, 捷辉电子商行	INTEL	0512+	13	BGA
RG82875 SL744	from hqew, 捷辉电子商行	INTEL	0617+	8	BGA
RGE7205MC SL65P	from hqew, 捷辉电子商行	INTEL	0315+	26	BGA
RGE7210MC SL77W	from hqew, 捷辉电子商行	INTEL	0315+	4	BGA
RGE7501MC SL6NV	from hqew, 捷辉电子商行	INTEL	0531+	34	BGA
RT3091L	from hqew, 捷辉电子商行	RALINK	0852+	3	QFN
RTL8100BL	from hqew, 捷辉电子商行	REALTEK	0539+	191	QFP
RTL8101L	from hqew, 捷辉电子商行	REALTEK	0711+	40	QFP
RTL8111C	from hqew, 捷辉电子商行	REALTEK	08	6464	QFN
RTL8201BL	from hqew, 捷辉电子商行	REALTEK	04/05+	158	QFP
RTL8201CL	from hqew, 捷辉电子商行	REALTEK	0935+	23	QFP
RTL8211BL	from hqew, 捷辉电子商行	REALTEK	06/07/08	702	QFP
RTM360-520	from hqew, 捷辉电子商行	REALTEK	05+	162	SSOP
RTM865T-300	from hqew, 捷辉电子商行	REALTEK	0721+	18	SOP
RTM866-485	from hqew, 捷辉电子商行	REALTEK	0733+	1773	SSOP56
RTM866-890	from hqew, 捷辉电子商行	REALTEK	0718+	178	SSOP56
RTM866-890	from hqew, 捷辉电子商行	REALTEK	0725+	31	SSOP56
S29GL256N90TFIR1	from hqew, 捷辉电子商行	SPANSIO	0205+	1	TSOP56
S29JL064H70TFIK0	from hqew, 捷辉电子商行	SPANSIO	0206+	3	TSOP48
S99JL032HBT1	from hqew, 捷辉电子商行	SPANSIO	0206+	1	TSOP48
SCH5137-NW	from hqew, 捷辉电子商行	SMSC	0741+	3	QFP128
SIL1392CNU	from hqew, 捷辉电子商行	SILICON	0826+	33	QFN
SIL3114CT176	from hqew, 捷辉电子商行	SILICON	0343+	5	TQFP176
SIL3114CTU	from hqew, 捷辉电子商行	SILICON	0746+	30	TQFP176
SIL3512CT128	from hqew, 捷辉电子商行	SILICON	0502+	16	TQFP128
SIL3512CT128	from hqew, 捷辉电子商行	SILICON	0408+	29	TQFP128
SIL3512ECTU128	from hqew, 捷辉电子商行	SILICON	0516+	20	TQFP128
SIL3512ECTU128	from hqew, 捷辉电子商行	SILICON	0504+	35	TQFP128
SIR402DP-TI-GE3	from hqew, 捷辉电子商行	VISHAY	10+	2	QFN8
SIS302LVMV	from hqew, 捷辉电子商行	SIS	0510+	2	QFP
SIS963LUA	from hqew, 捷辉电子商行	SIS	0542+	17	BGA
SIS964	from hqew, 捷辉电子商行	SIS	0537+	5	BGA
SIS964	from hqew, 捷辉电子商行	SIS	0533+	1	BGA
SIS964	from hqew, 捷辉电子商行	SIS	0527+	6	BGA
SN74HC164DR	from hqew, 捷辉电子商行	TI	06+	100	SOP
SN74LC08APWR	from hqew, 捷辉电子商行	TI	07+	117	SSOP
SPHE7300ASM	from hqew, 捷辉电子商行	SUNPLUS	0664+	36	QFP
SST25VF040B-50-4C-S2AF	from hqew, 捷辉电子商行	SST	0746+	1	SOP8
SST25VF040B-50-4C-S2AF	from hqew, 捷辉电子商行	SST	07+	9	SOP8
SST25VF080B-50-4C-S2AF	from hqew, 捷辉电子商行	SST	0803+	100	SOP8
STD85N3LH5	from hqew, 捷辉电子商行	ST	0850+	20	TO-252
TI-4200-8X	from hqew, 捷辉电子商行	NVIDIA	0415+	64	BGA
V58C2128164SBT5B	from hqew, 捷辉电子商行	MOSEL	0410+	28	TSSOP66
VL810-Q8	from hqew, 捷辉电子商行	VLI	1034+	7	QFN
VOLARI-Z11	from hqew, 捷辉电子商行	XGL	0717+	3	BGA
VSC8201RX	from hqew, 捷辉电子商行	VITESSE	0532+	63	QFP128
VSC8201RX	from hqew, 捷辉电子商行	VITESSE	0429+	5	QFP128
VT1612A	from hqew, 捷辉电子商行	VIA	0543CD	6	QFP
VT1616 CD	from hqew, 捷辉电子商行	VIA	0412+	79	QFP48
VT1616 CD	from hqew, 捷辉电子商行	VIA	0528+	6	QFP48
VT1616 CD	from hqew, 捷辉电子商行	VIA	0336+	5	QFP48
VT1616 CD	from hqew, 捷辉电子商行	VIA	0428+	6	QFP48
VT1616 CD	from hqew, 捷辉电子商行	VIA	0511+	11	QFP48
VT1617	from hqew, 捷辉电子商行	VIA	0348+	322	QFP48
VT1618 CD	from hqew, 捷辉电子商行	VIA	0826+	518	QFP48
VT1622AM	from hqew, 捷辉电子商行	VIA	0428+	20	QFP
VT1708A CD	from hqew, 捷辉电子商行	VIA	0732+	91	QFP48
VT1708A CD	from hqew, 捷辉电子商行	VIA	0829+	44	QFP48
VT1708A CD	from hqew, 捷辉电子商行	VIA	0709+	24	QFP48
VT6103 G	from hqew, 捷辉电子商行	VIA	0737CD	3412	SSOP48
VT6103L CD	from hqew, 捷辉电子商行	VIA	0527+	54	QFP48
VT6103L CD	from hqew, 捷辉电子商行	VIA	0520+	13	QFP48
VT6103L CD	from hqew, 捷辉电子商行	VIA	0548+	31	QFP48
VT6103L CD	from hqew, 捷辉电子商行	VIA	0729+	38	QFP48
VT6106L	from hqew, 捷辉电子商行	VIA	0552+	46	QFP128
VT6202 CD	from hqew, 捷辉电子商行	VIA	0408+	182	QFP128
VT6212 CD	from hqew, 捷辉电子商行	VIA	0420+	420	QFP128
VT6212L	from hqew, 捷辉电子商行	VIA	0805+CD	1440	QFP128
VT6306 CD	from hqew, 捷辉电子商行	VIA	0509+	249	QFP128
VT6307	from hqew, 捷辉电子商行	VIA	0547+	291	QFP128
VT6307 CD	from hqew, 捷辉电子商行	VIA	0544+	387	QFP128
VT6307 CD	from hqew, 捷辉电子商行	VIA	0506+	2	QFP128
VT6307 CD	from hqew, 捷辉电子商行	VIA	0322+	11	QFP128
VT6410 CD	from hqew, 捷辉电子商行	VIA	0536+	242	QFP128
VT8237R PLUS CD	from hqew, 捷辉电子商行	VIA	0652+	96	BGA
VT8237R PLUS CD	from hqew, 捷辉电子商行	VIA	0705+	156	BGA
VT8237R PLUS CD	from hqew, 捷辉电子商行	VIA	0601+	2	BGA
VT8237R PLUS CD	from hqew, 捷辉电子商行	VIA	0712+	9	BGA
VT8237S CD	from hqew, 捷辉电子商行	VIA	0836+	24	BGA
VT8601A CE	from hqew, 捷辉电子商行	VIA	0202+	156	BGA
VT8601T	from hqew, 捷辉电子商行	VIA	0550+	49	BGA
VT8601T CD	from hqew, 捷辉电子商行	VIA	0335+	49	BGA
W25Q64BSSIG	from hqew, 捷辉电子商行	WINBONE	0951+	1	SOP8
W83627DHG	from hqew, 捷辉电子商行	WINBONE	0641+	1584	QFP
W83627DHG-G	from hqew, 捷辉电子商行	WINBONE	0946+	7	QFP
W83627EHG	from hqew, 捷辉电子商行	WINBONE	0518+	139	QFP
W83627HG-AW	from hqew, 捷辉电子商行	WINBOND	0615+	5	QFP128
W986416DH-6	from hqew, 捷辉电子商行	WINBION	0317+	8	TSSOP54
WG82567LM	from hqew, 捷辉电子商行	INTEL	0837+	42	QFN
XC3S1000	from hqew, 捷辉电子商行	XILINX	0525+	13	BGA
213R3LASB41	from hqew, 捷辉电子商行	ATI	0237+	2	BGA
213R3LASB41	from hqew, 捷辉电子商行	ATI	0528+	6	BGA
213RT12UA43	from hqew, 捷辉电子商行	ATI	0452+	144	QFP
213RT1ZUA43	from hqew, 捷辉电子商行	ATI	0407+	51	QFP128
213RT1ZUA43	from hqew, 捷辉电子商行	ATI	0412+	1	QFP128
213RT1ZUA43	from hqew, 捷辉电子商行	ATI	0207+	16	QFP128
213RT1ZUA43	from hqew, 捷辉电子商行	ATI	0233+	4	QFP128
215-0669065	from hqew, 捷辉电子商行	ATI	1003+	3	BGA
215-0669065	from hqew, 捷辉电子商行	ATI	0837+	12	BGA
215-0669069	from hqew, 捷辉电子商行	ATI	0832+	20	BGA
215-0669069	from hqew, 捷辉电子商行	ATI	1002	1	BGA
215-0670006	from hqew, 捷辉电子商行	ATI	0817+	17	BGA
215-0674020 ENG	from hqew, 捷辉电子商行	AMD	0744+	5	BGA
215-0674028	from hqew, 捷辉电子商行	AMD	0927+	17	BGA
215-0682008	from hqew, 捷辉电子商行	ATI	0808+	2	BGA
215-0708003	from hqew, 捷辉电子商行	ATI	0805+	2	BGA
215-0708018	from hqew, 捷辉电子商行	AMD	1147+	3	BGA
215-0716046	from hqew, 捷辉电子商行	AMD	1153+	30	BGA
215-0719103	from hqew, 捷辉电子商行	ATI	0909+	1	BGA
215-0725007	from hqew, 捷辉电子商行	ATI	0838+	37	BGA
215-0725007	from hqew, 捷辉电子商行	ATI	0916+	4	BGA
215-0725015	from hqew, 捷辉电子商行	ATI	0933+	2	BGA
215-0725015	from hqew, 捷辉电子商行	ATI	1004+	3	BGA
215-0752003	from hqew, 捷辉电子商行	AMD	1014+	7	BGA
215-0754042	from hqew, 捷辉电子商行	AMD	1038+	1	BGA
215-0828047	from hqew, 捷辉电子商行	AMD	1220+	1	BGA
215B1DAVA12FG	from hqew, 捷辉电子商行	ATI	0748+	8	BGA
215B1DAVA12FG RV516	from hqew, 捷辉电子商行	ATI	0713+	3	BGA
215B1EAVA12FG RV516	from hqew, 捷辉电子商行	ATI	0713+	24	BGA
215B1EAVA12FG RV516	from hqew, 捷辉电子商行	ATI	0619+	17	BGA
215B1EAVA12FG RV516	from hqew, 捷辉电子商行	ATI	0745+	11	BGA
215BCDAKA14FG	from hqew, 捷辉电子商行	ATI	0646+	31	BGA
215BCFAKA14FG	from hqew, 捷辉电子商行	ATI	0637+	25	BGA
215BCFAKA14FG RV505	from hqew, 捷辉电子商行	ATI	0637+	10	BGA
215C78AVA12PH	from hqew, 捷辉电子商行	ATI	0526+	2	BGA
215C78AVA12PHG	from hqew, 捷辉电子商行	ATI	0710+	76	BGA
215CADAKA24FG RV530PRO	from hqew, 捷辉电子商行	ATI	0611+	38	BGA
215CADAKA26FG	from hqew, 捷辉电子商行	ATI	0625+	35	BGA
215CADAKA26FG RV530PRO	from hqew, 捷辉电子商行	ATI	0726+	19	BGA
215CADAKA26FG RV530PRO	from hqew, 捷辉电子商行	ATI	0625+	2	BGA
215CADAKA26FG RV530PRO	from hqew, 捷辉电子商行	ATI	0817+	150	BGA
215CCDBKB12FG	from hqew, 捷辉电子商行	ATI	0646+	88	BGA
215CDABKA15FG	from hqew, 捷辉电子商行	ATI	0805+	45	BGA
215CDABKA15FG	from hqew, 捷辉电子商行	ATI	0720+	11	BGA
215CQA6AVA12FG	from hqew, 捷辉电子商行	AMD	0804+	125	BGA
215CQA6AVA12FG	from hqew, 捷辉电子商行	AMD	0743+	2	BGA
215FPS3ATA11H 9100IGP PRO RS350	from hqew, 捷辉电子商行	ATI	0504+	1	BGA
215HCP4ALA12FG RC410	from hqew, 捷辉电子商行	ATI	0545+	43	BGA
215J78AVA12PH	from hqew, 捷辉电子商行	ATI	0503+	12	BGA
215L78ANA12H	from hqew, 捷辉电子商行	ATI	0322+	7	BGA
215L78ANA12H	from hqew, 捷辉电子商行	ATI	0340+	1	BGA
215LKCAKA14FG	from hqew, 捷辉电子商行	Other	0832+	17	
215LKCAKA14FG	from hqew, 捷辉电子商行	ATI	1002+	30	BGA
215LKCALA15FG	from hqew, 捷辉电子商行	ATI	0733+	131	BGA
215LKCALA15FG	from hqew, 捷辉电子商行	ATI	0832+	4	BGA
215PADAKA12FG	from hqew, 捷辉电子商行	ATI	0634+	5	BGA
215PAGAKA12FG	from hqew, 捷辉电子商行	ATI	0633+	23	BGA
215PAHAKA12FG	from hqew, 捷辉电子商行	ATI	0642+	2	BGA
215QDA7AKA21FG	from hqew, 捷辉电子商行	AMD	0748+	10	BGA
215QDA7AKA21FG	from hqew, 捷辉电子商行	AMD	1004+	20	BGA
215QDA7AKA21FG	from hqew, 捷辉电子商行	AMD	0844+	6	BGA
215QDA7AKA21FG	from hqew, 捷辉电子商行	AMD	1021+	3	BGA
215R3LASB22	from hqew, 捷辉电子商行	ATI	03+	10	BGA
215R3LASB22	from hqew, 捷辉电子商行	ATI	&nbsp;	704	BGA
215R6LAEA12G	from hqew, 捷辉电子商行	ATI	0826+	1600	BGA
215R6VALA12 ES1000	from hqew, 捷辉电子商行	ATI	0532+	4	BGA
215R6VALA21 ES1000	from hqew, 捷辉电子商行	ATI	0632+	20	BGA
215R6VALA21G ES1000	from hqew, 捷辉电子商行	ATI	0622+	2	BGA
215R7TZBKA12	from hqew, 捷辉电子商行	ATI	0243+	50	BGA
215R8ABGA13F RS300	from hqew, 捷辉电子商行	ATI	0246+	2	BGA
215R8JCKA13F 9600PRO	from hqew, 捷辉电子商行	ATI	0507+	26	BGA
215R8JCKA13F 9600PRO	from hqew, 捷辉电子商行	ATI	0451+	24	BGA
215R8NCKA13F	from hqew, 捷辉电子商行	ATI	0510+	55	BGA
215R9JCGA13F 9600XT	from hqew, 捷辉电子商行	ATI	0450+	3	BGA
215RCJALA11F 9600PRO	from hqew, 捷辉电子商行	ATI	0506+	10	BGA
215RCJALA11FL 9600PRO	from hqew, 捷辉电子商行	ATI	0535+	12	BGA
215RCNALA11FG 9550	from hqew, 捷辉电子商行	ATI	0718+	74	BGA
215RCNALA11FL 9550	from hqew, 捷辉电子商行	ATI	0523+	51	BGA
215RDA7AKA21FG	from hqew, 捷辉电子商行	AMD	0748+	7	BGA
215RDA7AKA21FG	from hqew, 捷辉电子商行	AMD	0750+	34	BGA
215RETAKA12F	from hqew, 捷辉电子商行	ATI	0508+	9	BGA
215RETAKA12FG X300SE	from hqew, 捷辉电子商行	ATI	0517+	1	BGA
215RETALA12FG X300SE	from hqew, 捷辉电子商行	ATI	0630+	24	BGA
215RNS3BGA21H RX330	from hqew, 捷辉电子商行	ATI	0434+	12	BGA
215RQA6AVA12FG	from hqew, 捷辉电子商行	AMD	0746+	19	BGA
215RQA6AVA12FG	from hqew, 捷辉电子商行	AMD	0807+	16	BGA
215RQA6AVA12FG	from hqew, 捷辉电子商行	AMD	0826+	40	BGA
215S8AAKA23F X600	from hqew, 捷辉电子商行	ATI	0549+	5	BGA
215S8CAKA23FG X550	from hqew, 捷辉电子商行	ATI	0832+	9	BGA
215S8CALA23FG	from hqew, 捷辉电子商行	ATI	0713+	2	BGA
215S8CALA23FG	from hqew, 捷辉电子商行	ATI	0652+	49	BGA
215S8KAGA22F	from hqew, 捷辉电子商行	ATI	0530+	7	BGA
215S8ZAKA22F X600PRO	from hqew, 捷辉电子商行	ATI	0441+	9	BGA
215SCAAKA13F	from hqew, 捷辉电子商行	ATI	0529+	102	BGA
215SCP5ALA11FG RS415S/200	from hqew, 捷辉电子商行	ATI	0738+	11	BGA
215XCAAKA12F X700	from hqew, 捷辉电子商行	ATI	0443+	17	BGA
216DCPAVA12FAG	from hqew, 捷辉电子商行	ATI	0801+	130	BGA
216DK8ANA12PH 9200	from hqew, 捷辉电子商行	ATI	0344+	18	BGA
216NLS3BGA21H RX300ML/9000IGP	from hqew, 捷辉电子商行	ATI	0435+	51	BGA
216Q7CFBGA13 M7-CPS32/7500	from hqew, 捷辉电子商行	ATI	0439+	5	BGA
216TBFCGA16FH 9600	from hqew, 捷辉电子商行	ATI	0505+	4	BGA
218BAPAGA12F	from hqew, 捷辉电子商行	NVIDIA	0505+	5	BGA
218S4EASA33HG SB400/IXP400	from hqew, 捷辉电子商行	ATI	0610+	60	BGA
218S4PASA12G	from hqew, 捷辉电子商行	ATI	0604+	9	BGA
218S6ECLA13FG SB600	from hqew, 捷辉电子商行	ATI	0810+	9	BGA
218S6ECLA13FG SB600	from hqew, 捷辉电子商行	ATI	0746+	3	BGA
218S6ECLA21FG SB600	from hqew, 捷辉电子商行	ATI	07+	77	BGA
218S6ECLA21FG SB600	from hqew, 捷辉电子商行	ATI	0835+	11	BGA
218S6ECLA21FG SB600	from hqew, 捷辉电子商行	ATI	0814+	18	BGA
218S6ECLA21FG/SB600	from hqew, 捷辉电子商行	ATI	0803+	11	BGA
218S6ECLA21FG/SB600	from hqew, 捷辉电子商行	ATI	0940+	24	BGA
218S6ECLA21FG/SB600	from hqew, 捷辉电子商行	ATI	0828+	4	BGA
218S6ECLA21FG/SB600	from hqew, 捷辉电子商行	ATI	0749+	4	BGA
218S7EBLA12FG SB700	from hqew, 捷辉电子商行	ATI	0948+	2	BGA
218S7EBLA12FG SB700	from hqew, 捷辉电子商行	ATI	0813+	5	BGA
218T510AKA13 550PRO	from hqew, 捷辉电子商行	ATI	0519+	400	BGA
74AHCT1G08GW	from hqew, 捷辉电子商行	MAXIM	0830+	721	SSOP28
82547EI	from hqew, 捷辉电子商行	INTEL	0510+	68	BGA
82547EI	from hqew, 捷辉电子商行	INTEL	0507+	15	BGA
82547GI	from hqew, 捷辉电子商行	INTEL	0512+	4	BGA
82547GI	from hqew, 捷辉电子商行	INTEL	0511+	3	BGA
82547GI	from hqew, 捷辉电子商行	INTEL	0520+	1	BGA
82547GI	from hqew, 捷辉电子商行	INTEL	0635+	26	BGA
82547GI	from hqew, 捷辉电子商行	INTEL	0506+	14	BGA
82562GZ	from hqew, 捷辉电子商行	INTEL	0647+	105	BGA
86E397	from hqew, 捷辉电子商行	S3	0124+	15	BGA
88E1111-RCJ	from hqew, 捷辉电子商行	MARVELL	0543+	1	QFP
88E1115-RCJ1	from hqew, 捷辉电子商行	MARVELL	0601+	19	QFP
88E1116-NNC1	from hqew, 捷辉电子商行	MARVELL	0634+	8	QFN
88E1116-NNC1	from hqew, 捷辉电子商行	MARVELL	0632+	21	QFN
88E1116-NNC1	from hqew, 捷辉电子商行	MARVELL	0618+	75	QFN
88E1116-NNC1	from hqew, 捷辉电子商行	MARVELL	0611+	30	QFN
88E8001-LKJ	from hqew, 捷辉电子商行	MARVELL	0547+	3	QFP
88E8001-LKJ1	from hqew, 捷辉电子商行	MARVELL	0540+	46	QFP
88E8053-NNC	from hqew, 捷辉电子商行	MARVELL	0446+	19	QFN
88E8053-NNC1 A3P	from hqew, 捷辉电子商行	MARVELL	0550+	4	QFN
88E8053-NNC1 A3P	from hqew, 捷辉电子商行	MARVELL	0735+	16	QFN
88E8053-NNC1 A3P	from hqew, 捷辉电子商行	MARVELL	0525+	5	QFN
88E8053-NNC1 A3P	from hqew, 捷辉电子商行	MARVELL	0509+	3	QFN
88E8053-NNC1 A3P	from hqew, 捷辉电子商行	MARVELL	0732+	4	QFN
88E8056-NNC1	from hqew, 捷辉电子商行	MARVELL	0630+	33	QFN
89HPES16T7ZHBXG	from hqew, 捷辉电子商行	IDT	0808+	2	BGA
AC82PM45 SLB97	from hqew, 捷辉电子商行	INTEL	0820+	2	BGA
AC82X58 SLGBT	from hqew, 捷辉电子商行	INTEL	0912+	25	BGA
AC88CTGM QT62ES	from hqew, 捷辉电子商行	INTEL	1007+	6	BGA
AD1882JCPZ	from hqew, 捷辉电子商行	AD	0741+	44	QFN
AD1888JCP	from hqew, 捷辉电子商行	AD	0539+	6	QFN
AD1888JCPZ	from hqew, 捷辉电子商行	AD	0547+	4	QFN
AD1888JCPZ	from hqew, 捷辉电子商行	AD	0620+	888	QFN
AD1986AJCPZ	from hqew, 捷辉电子商行	AD	0731+	26	QFN
ADT7462ACPZ	from hqew, 捷辉电子商行	ON SEMI	0823+	9	QFN
ALC262	from hqew, 捷辉电子商行	REALTEK	08/09+	38	QFP
ALC653	from hqew, 捷辉电子商行	REALTEK	05/06/07	1399	QFP
ALC883	from hqew, 捷辉电子商行	REALTEK	0810+	1	QFP
ALC883	from hqew, 捷辉电子商行	REALTEK	0811+	1	QFP
AMD-8111AC	from hqew, 捷辉电子商行	AMD	0440+	1	BGA
AMD-8131BLC	from hqew, 捷辉电子商行	AMD	0533+	2	BGA
AR2316A-001	from hqew, 捷辉电子商行	ATHEROS	0649+	33	BGA
AR2316A-001	from hqew, 捷辉电子商行	ATHEROS	0725+	10	BGA
AR2316A-001	from hqew, 捷辉电子商行	ATHEROS	0536+	20	BGA
ATTANSIC	from hqew, 捷辉电子商行	ATHEROS	0716+	7	QFP
BCM4401KFBG	from hqew, 捷辉电子商行	BROADCOM	0942+	153	BGA
BCM5670A1KEB	from hqew, 捷辉电子商行	BROADCOM	0407+	7	BGA
BCM5673KPB	from hqew, 捷辉电子商行	BROADCOM	0437+	7	BGA
BCM5705KFB	from hqew, 捷辉电子商行	BROADCOM	0545+	18	BGA
BCM5751KFB	from hqew, 捷辉电子商行	BROADCOM	0529+	35	BGA
BCM5751KFB	from hqew, 捷辉电子商行	BROADCOM	0524+	1	BGA
BCM5751KFBG	from hqew, 捷辉电子商行	BROADCOM	0542+	5	BGA
BCM5753KFBG	from hqew, 捷辉电子商行	BROADCOM	0614+	23	BGA
BCM5787MKFBG	from hqew, 捷辉电子商行	BROADCOM	0612+	11	BGA
BCM5788KFBG	from hqew, 捷辉电子商行	BROADCOM	0731+	17	BGA
BCM5789KFB	from hqew, 捷辉电子商行	BROADCOM	0535+	22	BGA
BCM5789KFB	from hqew, 捷辉电子商行	BROADCOM	0446+	10	BGA
BCM5789KFB	from hqew, 捷辉电子商行	BROADCOM	0539+	1	BGA
BCM5789KFB	from hqew, 捷辉电子商行	BROADCOM	0531+	1	BGA
BCM5789KFB	from hqew, 捷辉电子商行	BROADCOM	0546+	2	BGA
BCM5789KFBG	from hqew, 捷辉电子商行	BROADCOM	0526+	29	BGA
BCM5789KFBG	from hqew, 捷辉电子商行	BROADCOM	0728+	81	BGA
BCM5789KFBG	from hqew, 捷辉电子商行	BROADCOM	0531+	1	BGA
BD82HM55 SLGZS	from hqew, 捷辉电子商行	INTEL	0603+	15	BGA
BD82P55 SLGWV	from hqew, 捷辉电子商行	INTEL	0936+	30	BGA
BD82P55 SLGWV	from hqew, 捷辉电子商行	INTEL	0932+	22	BGA
BD82P55 SLGWV	from hqew, 捷辉电子商行	INTEL	0937+	2	BGA
BD82P55 SLGWV	from hqew, 捷辉电子商行	INTEL	0952+	2	BGA
BD82P55 SLGWV	from hqew, 捷辉电子商行	INTEL	1011+	6	BGA
C51-PV-A2	from hqew, 捷辉电子商行	NVIDIA	0529+	22	BGA
C7 1000/400 CD	from hqew, 捷辉电子商行	VIA	0723+	3	BGA
C7 1000/400 CD	from hqew, 捷辉电子商行	VIA	1119+	38	BGA
C7 1500/400 CD	from hqew, 捷辉电子商行	VIA	0606+	4	BGA
C7 1500/400 CD	from hqew, 捷辉电子商行	VIA	0602+	9	BGA
C7-D 1500/400	from hqew, 捷辉电子商行	VIA	0841+	6	BGA
C7-D 1500/400 CD	from hqew, 捷辉电子商行	VIA	0721+	7	BGA
C7-D 1500/400 CD	from hqew, 捷辉电子商行	VIA	0649+	2	BGA
C7-D 1500/400 CD	from hqew, 捷辉电子商行	VIA	0738+	20	BGA
C7-M 1600/800 CD	from hqew, 捷辉电子商行	VIA	0913+	1	BGA
CMI9761A	from hqew, 捷辉电子商行	CMI	0512+	12	QFP
CMI9761A	from hqew, 捷辉电子商行	CMI	0445+	8	QFP
CMI9880	from hqew, 捷辉电子商行	CMI	0437+	244	QFP
CMI9880	from hqew, 捷辉电子商行	CMI	0429+	50	QFP
CY62157DV30L-55ZSXI	from hqew, 捷辉电子商行	CYPRESS	0619+	37	SOP-44
CY82157DV30L-55ZSXI	from hqew, 捷辉电子商行	CYPRESS	0631+	38	SOP-44
D720404F1	from hqew, 捷辉电子商行	NEC	0721+	27	BGA
EN29F002ANT-70JCP	from hqew, 捷辉电子商行	EON	0623+	93	PLCC
ES1938S	from hqew, 捷辉电子商行	ESS	0249+	1	QFP100
ES1938S	from hqew, 捷辉电子商行	ESS	0040+	4	QFP100
FW82801BA SL5PN	from hqew, 捷辉电子商行	INTEL	0312+	2	BGA
FW82801BA SL5WK	from hqew, 捷辉电子商行	INTEL	0549+	130	BGA
FW82801BA SL5WK	from hqew, 捷辉电子商行	INTEL	0520+	1	BGA
FW82801DB SL6DM	from hqew, 捷辉电子商行	INTEL	0541+	11	BGA
FW82801DB SL6DM	from hqew, 捷辉电子商行	INTEL	0412+	1	BGA
FW82801DBM SL6DN	from hqew, 捷辉电子商行	INTEL	0535+	70	BGA
FW82801EB SL73Z	from hqew, 捷辉电子商行	INTEL	0549+	26	BGA
FW82801ER SL742	from hqew, 捷辉电子商行	INTEL	0635+	36	BGA
FW82801ER SL742	from hqew, 捷辉电子商行	INTEL	0630+	468	BGA
FW82801ER SL742	from hqew, 捷辉电子商行	INTEL	0602+	71	BGA
FW82801FB SL7Y5	from hqew, 捷辉电子商行	INTEL	0611+	22	BGA
FW82801FB SL7Y5	from hqew, 捷辉电子商行	INTEL	0537+	5	BGA
FW82801FB SL8BZ	from hqew, 捷辉电子商行	INTEL	0538+	20	BGA
FW82801FR SL79N	from hqew, 捷辉电子商行	INTEL	0531+	259	BGA
FW82801FR SL7W7	from hqew, 捷辉电子商行	INTEL	0443+	4	BGA
FW82810 SL3P7	from hqew, 捷辉电子商行	INTEL	0035+	8	BGA
FW82815 SL5NQ	from hqew, 捷辉电子商行	INTEL	0227+	3	BGA
FW82815 SL7YN	from hqew, 捷辉电子商行	INTEL	0246+	3	BGA
FX5200-NPB	from hqew, 捷辉电子商行	NVIDIA	0751+	33	BGA
FX5200-NPB	from hqew, 捷辉电子商行	NVIDIA	0707+	17	BGA
FX5700	from hqew, 捷辉电子商行	NVIDIA	0433+	2	BGA
FX5700ULTRA	from hqew, 捷辉电子商行	NVIDIA	0417+	9	BGA
